valid_post_set,post_text_proportion,avg_post_word_count,prop_posts_with_date,dates_per_post,prop_posts_with_post_term,post_terms_per_post,avg_sent_length,cv_post_word_count,avg_post_similarity,lexical_diversity,words_per_line,mean_element_count,post_count
1,0.99,58.47,0.2,0.6,0.2,0.6,23.08,0.91,0.11,0.47,33.73,12.53,15
1,0.17,26.33,0.17,0.17,0.17,0.17,39.5,1.22,0.26,0.7,1.32,13.0,6
0,0.07,1.91,0.0,0.0,0.0,0.0,1.86,0.64,0.3,0.88,0.64,4.0,35
1,0.76,15.73,0.29,0.29,0.29,0.29,16.97,0.46,0.3,0.58,0.89,15.29,41
1,0.96,452.08,1.0,2.54,1.0,2.54,28.53,1.57,0.08,0.24,27.59,43.77,13
0,0.02,2.37,0.02,0.02,0.02,0.02,2.37,1.51,0.39,0.44,2.37,3.19,63
1,0.66,13.72,0.3,0.3,0.3,0.3,12.48,0.59,0.25,0.52,13.72,14.8,40
0,0.17,3.3,0.27,0.27,0.27,0.27,3.3,0.4,0.25,0.48,3.3,5.23,44
1,0.82,39.25,1.0,1.22,1.0,1.22,36.23,0.25,0.23,0.44,1.41,21.61,36
1,0.04,21.33,0.67,0.67,0.67,0.67,21.33,0.33,0.41,0.59,1.78,9.0,6
1,0.69,73.4,1.0,1.2,1.0,1.2,28.23,0.16,0.12,0.47,6.92,28.6,5
1,0.8,32.36,0.07,0.07,0.07,0.07,34.85,3.48,0.67,0.51,0.44,42.57,14
0,0.1,2.7,0.0,0.0,0.0,0.0,2.7,0.27,0.32,0.81,0.9,3.9,20
1,0.51,48.5,1.0,1.12,1.0,1.12,48.5,0.11,0.14,0.46,2.2,15.0,8
0,0.1,2.47,0.0,0.0,0.0,0.0,2.47,0.6,0.23,0.47,2.47,3.5,30
1,0.05,13.25,0.0,0.0,0.0,0.0,13.25,0.23,0.29,0.73,13.25,10.0,12
0,0.01,2.71,0.0,0.0,0.0,0.0,2.71,0.47,0.22,0.96,2.71,3.94,17
1,0.62,13.57,0.0,0.0,0.0,0.0,13.19,0.52,0.24,0.65,13.19,11.46,35
1,0.83,32.66,0.23,0.27,0.23,0.27,22.81,0.52,0.21,0.43,1.34,19.23,44
0,0.15,7.29,0.0,0.0,0.0,0.0,7.29,0.56,0.43,0.33,1.59,6.34,35
1,1.47,51.65,0.01,0.09,0.01,0.09,25.67,5.7,0.52,0.19,1.02,35.33,82
1,0.64,56.94,0.19,0.19,0.19,0.19,11.68,0.55,0.14,0.39,1.98,36.38,16
0,0.18,5.46,0.0,0.0,0.0,0.0,5.46,1.37,0.25,0.6,1.27,8.42,48
1,0.85,26.08,0.03,0.2,0.03,0.2,13.96,0.68,0.1,0.49,25.45,21.86,121
