page_with_posts,word_count,date_count,post_term_count,lexical_diversity,article_count,div_count,by_count,element_count,post_term_count_url,top_class_count,top_3_class_count,top_class_prop_total,top_class_prop_unique_words,mean_descendant_count
1,1982,40,487,0.47,27,416,0,1467,0,36,30,0.0,0,22.16087252897069
1,1005,0,412,0.49,16,257,5,807,0,30,25,0.07,0.67,26.261462205700123
1,1341,33,473,0.58,10,503,5,988,0,64,43.33,0.52,0.84,23.272267206477732
1,637,11,373,0.46,9,298,2,873,0,48,36,0.24,0.0,30.765177548682704
1,2088,0,77,0.31,5,11,3,171,0,5,5,0.98,0.79,16.304093567251464
1,919,0,2436,0.38,41,165,0,677,0,70,59,0.54,0.28,15.961595273264402
1,480,4,277,0.54,14,162,0,631,0,24,21,0.15,0.71,18.48177496038035
1,480,4,277,0.54,14,162,0,631,0,24,21,0.15,0.71,18.48177496038035
1,6680,50,1054,0.33,124,492,1,3993,0,122,108,0.02,0.05,25.64663160530929
1,2088,0,77,0.31,5,11,3,171,0,5,5,0.98,0.79,16.304093567251464
1,2730,5,327,0.38,7,435,0,2332,0,217,149,0.17,0.01,32.3795025728988
1,1277,123,918,0.53,48,24,0,1164,0,49,48.33,0.04,0.0,17.68041237113402
1,881,22,172,0.43,5,27,3,522,0,5,5,0.64,0.68,12.697318007662835
1,956,24,97,0.41,10,117,11,397,1,15,12,1.48,0.24,31.486146095717885
1,4744,10,202,0.24,6,69,27,598,0,6,6,0.97,0.7,19.668896321070235
1,898,36,500,0.47,12,185,0,580,2,51,26.33,0.07,0.1,32.244827586206895
1,3038,69,449,0.34,36,32,11,530,0,36,30,0.06,0.06,15.160377358490566
1,2896,28,977,0.36,10,216,15,1013,0,20,20,0.11,0.0,27.177690029615004
1,7170,33,150,0.12,38,14,9,1426,0,98,61,0.02,0.25,23.49859747545582
1,1031,20,572,0.6,5,66,0,1183,1,310,115.33,0.36,0.85,34.50295857988166
1,2088,57,369,0.33,5,48,16,1134,1,211,107.33,0.11,0.0,24.253086419753085
1,344,3,118,0.62,0,193,0,721,2,21,13.67,0.0,0,19.24133148404993
1,1981,5,160,0.42,5,42,0,375,0,15,8.67,0.0,0,30.498666666666665
1,250,0,112,0.71,5,20,0,160,0,5,5,0.88,0.77,17.28125
1,312,5,82,0.58,5,5,1,156,1,5,5,0.5,0.84,12.39102564102564
1,5904,39,69,0.25,10,16,34,466,1,13,8.67,0.02,0.32,13.645922746781116
1,4065,14,620,0.24,8,77,10,1186,1,10,8.67,0.02,0.69,20.006745362563237
1,38,5,21,0.87,5,25,0,81,1,8,5,0.9,0.94,7.716049382716049
1,3818,9,212,0.28,5,15,14,303,1,10,6.67,0.0,0.0,15.062706270627062
1,258,5,63,0.65,5,18,0,137,1,5,5,0.66,1.0,13.153284671532846
1,1293,42,625,0.35,10,82,16,655,1,19,13,0.08,0.52,26.770992366412212
1,949,6,323,0.41,10,37,1,378,1,11,10.33,0.08,0.92,15
1,201,15,95,0.58,7,6,0,119,1,7,7,0.88,0.56,11.495798319327731
1,2709,16,305,0.38,5,100,8,577,1,15,13.67,0.0,0,13.901213171577123
1,1494,30,214,0.38,10,75,19,631,1,30,26,0.02,0.17,24.117274167987322
1,108,10,93,0.56,11,8,0,119,1,10,4,0.33,0.13,11.277310924369749
1,560,8,91,0.54,5,12,6,169,1,14,9.33,1.94,0.02,16.485207100591715
1,3847,139,327,0.35,10,65,1,3115,1,1012,369.33,1.11,0.3,24.765329052969502
1,744,32,274,0.46,10,442,1,824,1,62,47,1.02,0.53,21.300970873786408
1,329,8,160,0.56,6,56,8,329,1,14,11,0.06,0.0,22.1580547112462
1,7649,17,100,0.22,5,6,37,837,1,6,5.33,0.0,0,17.524492234169653
1,823,6,206,0.45,5,20,9,308,1,8,6.33,0.0,0,10.006493506493506
1,769,14,219,0.49,10,30,3,309,1,19,19,0.08,0.53,20.436893203883496
1,2331,26,284,0.36,11,115,2,1209,1,88,50.33,0.1,0.4,20.803970223325063
1,2507,21,126,0.34,5,25,16,327,1,32,25.67,0.02,0.48,19.810397553516818
1,18892,75,228,0.16,10,33,61,1441,0,10,7.67,0.0,0.36,15.626648160999306
1,1501,21,582,0.24,25,60,2,467,1,25,25,0.98,0.33,24.73661670235546
1,317,0,96,0.61,6,21,0,157,0,6,6,0.93,0.76,19.401273885350317
1,1044,11,76,0.48,11,71,5,187,1,20,13.33,0.91,0.55,11.363636363636363
1,1594,11,698,0.32,10,50,4,671,0,14,11.33,0.01,0.14,19.274217585692995
1,2289,25,280,0.61,10,120,21,1897,1,20,17,0.0,0,35.91934633632051
1,5150,18,289,0.29,8,98,22,749,1,39,34.33,0.04,0.57,15.813084112149532
1,746,7,64,0.49,14,9,1,160,0,16,15.33,0.5,0.82,16.76875
1,10326,144,293,0.18,10,20,42,1087,0,31,25.67,0.12,0.22,20.908003679852804
1,419,10,148,0.47,5,22,5,246,0,6,5.33,0.02,0.17,16.382113821138212
1,274,5,44,0.59,5,1,0,75,0,5,5,0.81,0.77,9.573333333333334
1,944,31,76,0.45,31,161,2,612,0,31,30.33,0.98,0.55,80.26470588235294
1,543,2,27,0.61,6,34,0,130,0,8,6.67,0.32,0.78,16.953846153846154
1,10052,77,345,0.23,67,14,13,1055,1,67,46.33,0.04,0.0,14.017061611374407
